Uuid,Void/Retire,Name,Description,Parent,Tags,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:500
c1e42932-3f10-11e4-adec-0800271c1b75,TRUE,,,,,,,,,,,,,,,,
baf7bd38-d225-11e4-9c67-080027b662ec,TRUE,,,,,,,,,,,,,,,,
e48fb2b3-d490-11e5-b193-0800270d80ce,TRUE,,,,,,,,,,,,,,,,
baf83667-d225-11e4-9c67-080027b662ec,TRUE,,,,,,,,,,,,,,,,
bb0e512e-d225-11e4-9c67-080027b662ec,TRUE,,,,,,,,,,,,,,,,
bb0eb071-d225-11e4-9c67-080027b662ec,TRUE,,,,,,,,,,,,,,,,
c58e12ed-3f12-11e4-adec-0800271c1b75,TRUE,,,,,,,,,,,,,,,,
c5854fd7-3f12-11e4-adec-0800271c1b75,TRUE,,,,,,,,,,,,,,,,
c1e4950f-3f10-11e4-adec-0800271c1b75,TRUE,,,,,,,,,,,,,,,,
c1f25be5-3f10-11e4-adec-0800271c1b75,TRUE,,,,,,,,,,,,,,,,
c1ebb8db-3f10-11e4-adec-0800271c1b75,TRUE,,,,,,,,,,,,,,,,
8d6c993e-c2cc-11de-8d13-0010c6dffd0f,TRUE,,,,,,,,,,,,,,,,
