Uuid,Void/Retire,Frequency per day,Concept frequency
eaf7d62d-3cb0-475d-a63e-0c0c538c3742,,24,863264e3-1b95-441a-997d-7fb0a240613c
22e97898-fc5b-4279-86aa-5cd0901cb46e,,12,d4dc0576-7a0d-43da-a123-19b26119cc6a
278456bd-7508-47ef-b45b-185a360c80d8,,8,4adb2e4e-40c8-4889-81ac-99b940897f54
f4c50c6a-f22e-4172-a557-9db34ff4fb0e,,6,334ce904-8a92-11e4-977f-0800271c1b75
5e1ef09a-cc4f-4ad6-92bf-dbe6b959c442,,5,90233a68-c4c1-48fb-a210-2cb0d5544e00
253ed417-81f4-4260-9e3f-f97bf14bae76,,4.8,2c4b7e6b-1bdd-4fe9-abf0-ced777b6caf9
353473ea-0b40-41c3-afdb-cec58574e63e,,4,334dbd41-8a92-11e4-977f-0800271c1b75
b027094a-0cac-4a8b-afdb-4e3f8c402ac8,,3,334ea16c-8a92-11e4-977f-0800271c1b75
f763f60a-c192-4a20-9b69-1b3291a233da,,2,334f851c-8a92-11e4-977f-0800271c1b75
adcc1e7c-4e66-45ef-84a3-7d8249eb23c0,,1,9d77abd7-3f10-11e4-adec-0800271c1b75
8baba7fd-cf8f-4f57-bebd-ef7cd793f52f,,1,2a148983-c143-4649-b4be-f8845c934ec0
202e79a3-a1a0-415b-8e2e-2ffd811679e2,,0.5,335071ea-8a92-11e4-977f-0800271c1b75
360c37ab-aab2-41fa-9246-54552b84975f,,0.4285714,3a427f19-979b-43f4-8e91-0fbdcf4a3773
1b7b76a8-f1bb-4074-899c-5539ed9b8b19,,0.28571428,b22ec437-b389-4875-86f9-9662732e384d
1ee481a7-33ed-494b-a8b6-feb1f05ae060,,0.142857142,33516e22-8a92-11e4-977f-0800271c1b75
d432f8e6-675e-46f5-8b24-92eff0636101,,0.0714285,9261ebac-541a-4a96-b245-07b9adcccb99
19b9e4d4-a1b0-4a4e-8268-8a61ae5d631c,,0.0476190,023570b0-872f-414d-88f1-6050b39e79f3
0ddf07e2-e65b-4220-a772-83892ab216fe,,0.03333333,8116d2c6-a183-4132-900d-02cc54a1821a
34d2343c-3148-4b23-af2b-4299efd52a0b,,,f36097e7-7d66-4196-8d95-6b66f31435cc
